2026-05-01 02:20:12,983 [MCA-SWEEP] INFO -   CT offset 334000: 2000 records, 0 new MCA leads
2026-05-01 02:20:16,257 [MCA-SWEEP] INFO -   CT offset 336000: 2000 records, 0 new MCA leads
2026-05-01 02:20:18,474 [MCA-SWEEP] INFO -   CT offset 338000: 2000 records, 0 new MCA leads
2026-05-01 02:20:20,678 [MCA-SWEEP] INFO -   CT offset 340000: 2000 records, 0 new MCA leads
2026-05-01 02:20:22,884 [MCA-SWEEP] INFO -   CT offset 342000: 2000 records, 0 new MCA leads
2026-05-01 02:20:25,490 [MCA-SWEEP] INFO -   CT offset 344000: 2000 records, 0 new MCA leads
2026-05-01 02:20:27,290 [MCA-SWEEP] INFO -   CT offset 346000: 2000 records, 0 new MCA leads
2026-05-01 02:20:29,853 [MCA-SWEEP] INFO -   CT offset 348000: 2000 records, 0 new MCA leads
2026-05-01 02:20:32,204 [MCA-SWEEP] INFO -   CT offset 350000: 2000 records, 0 new MCA leads
2026-05-01 02:20:34,293 [MCA-SWEEP] INFO -   CT offset 352000: 2000 records, 0 new MCA leads
2026-05-01 02:20:36,176 [MCA-SWEEP] INFO -   CT offset 354000: 2000 records, 0 new MCA leads
2026-05-01 02:20:38,334 [MCA-SWEEP] INFO -   CT offset 356000: 2000 records, 0 new MCA leads
2026-05-01 02:20:40,589 [MCA-SWEEP] INFO -   CT offset 358000: 2000 records, 0 new MCA leads
2026-05-01 02:20:42,758 [MCA-SWEEP] INFO -   CT offset 360000: 2000 records, 0 new MCA leads
2026-05-01 02:20:44,833 [MCA-SWEEP] INFO -   CT offset 362000: 2000 records, 0 new MCA leads
2026-05-01 02:20:46,803 [MCA-SWEEP] INFO -   CT offset 364000: 2000 records, 0 new MCA leads
2026-05-01 02:20:49,037 [MCA-SWEEP] INFO -   CT offset 366000: 2000 records, 0 new MCA leads
2026-05-01 02:20:51,055 [MCA-SWEEP] INFO -   CT offset 368000: 2000 records, 0 new MCA leads
2026-05-01 02:20:53,317 [MCA-SWEEP] INFO -   CT offset 370000: 2000 records, 0 new MCA leads
2026-05-01 02:20:55,518 [MCA-SWEEP] INFO -   CT offset 372000: 2000 records, 0 new MCA leads
2026-05-01 02:20:57,915 [MCA-SWEEP] INFO -   CT offset 374000: 2000 records, 0 new MCA leads
2026-05-01 02:21:00,736 [MCA-SWEEP] INFO -   CT offset 376000: 2000 records, 0 new MCA leads
2026-05-01 02:21:03,204 [MCA-SWEEP] INFO -   CT offset 378000: 2000 records, 0 new MCA leads
2026-05-01 02:21:05,185 [MCA-SWEEP] INFO -   CT offset 380000: 2000 records, 0 new MCA leads
2026-05-01 02:21:07,151 [MCA-SWEEP] INFO -   CT offset 382000: 2000 records, 0 new MCA leads
